name,material_type,seating_type,speed,height,length,num_inversions,manufacturer,park,status,lat,lng
Atomic Coaster,Steel,Sit Down,80.0,38.0,265.0,1.0,Meisho Amusement Machines,Japan Monkey Park,status.closed.definitely,35.3915526,136.954403
Highway Coaster,Steel,Sit Down,75.0,26.0,830.0,0.0,Senyo Kogyo,Japan Monkey Park,status.operating,35.3915526,136.954403
Go! Go! Banana Coaster,Steel,Sit Down,,,,0.0,Senyo Kogyo,Japan Monkey Park,status.operating,35.3915526,136.954403
Monkey Coaster,Steel,Sit Down,,9.0,400.0,0.0,Senyo Kogyo,Japan Monkey Park,status.operating,35.3915526,136.954403
Looping Star,Steel,Sit Down,77.0,25.0,592.0,1.0,Schwarzkopf,Freizeipark Kirchhorst,status.closed.definitely,,
Achterbahn,Steel,Sit Down,,,,0.0,na,Freizeipark Kirchhorst,status.closed.definitely,,
Marienkäferbahn,Steel,Sit Down,36.0,8.0,360.0,0.0,Zierer,Freizeipark Kirchhorst,status.closed.definitely,,
Alpina Bobs,Steel,Sit Down,50.0,14.0,538.0,0.0,Schwarzkopf,Holly Park,status.closed.definitely,53.2801923,-6.1749513
Family Coaster,Steel,Sit Down,,,,0.0,D.P.V. Rides,Holly Park,status.closed.definitely,53.2801923,-6.1749513
Rolling Thunder Mine Train,Steel,Sit Down,43.0,,600.0,0.0,Soquet,Genting Theme Park,status.closed.definitely,3.4226255,101.7956716
Cyclone,Steel,Sit Down,46.0,,,0.0,Pinfari,Genting Theme Park,status.closed.definitely,3.4226255,101.7956716
Flying Coaster,Steel,Flying,41.0,19.0,390.0,2.0,Zamperla,Genting Theme Park,status.closed.definitely,3.4226255,101.7956716
Corkscrew,na,Sit Down,64.0,22.0,731.0,2.0,Vekoma,Genting Theme Park,status.closed.definitely,3.4226255,101.7956716
Montaña Rusa,Steel,Sit Down,,,,0.0,na,Tivoli World,status.operating,38.2943056,-0.616906
Montaña Rusa Infantil,Steel,Sit Down,,,,0.0,na,Tivoli World,status.operating,38.2943056,-0.616906
Tokaido,Steel,Sit Down,40.0,7.0,195.0,0.0,na,Tivoli World,status.operating,38.2943056,-0.616906
Cilgin Kopekbaligi,Steel,Sit Down,,,,0.0,SBF,Cevahir Mall,status.operating,41.0630798,28.9925265
Mega Looping Bahn,Steel,Sit Down,65.0,30.0,,4.0,Vekoma,Spree-Park,status.closed.definitely,52.48351539999999,13.4916832
Spreeblitz,Steel,Sit Down,,,,0.0,Mack,Spree-Park,status.closed.definitely,52.48351539999999,13.4916832
Jet Star,Steel,Sit Down,,,,0.0,Schwarzkopf,Spree-Park,status.closed.definitely,52.48351539999999,13.4916832
Fun Express,Steel,Sit Down,,9.0,352.0,0.0,na,Spree-Park,status.closed.definitely,52.48351539999999,13.4916832
4 Man Bob,Steel,Sit Down,,7.0,,0.0,Zierer,Trentham,status.closed.definitely,52.9697123,-2.207646200000001
Thunderbolt,Steel,Sit Down,,7.0,,0.0,Zierer,Grove Land,status.closed.definitely,37.8388779,-120.2308167
Cyclone,Steel,Sit Down,,,,0.0,na,Grove Land,status.closed.definitely,37.8388779,-120.2308167
Cyber Space,Steel,Sit Down,,,,0.0,Barbisan,Grove Land,status.closed.definitely,37.8388779,-120.2308167
Jammin,Steel,Sit Down,,,,0.0,Barbisan,Frontierland Family Theme Park,status.closed.definitely,48.8719865,2.7764109
